#	Symbol	ID	Chromosome	Start	Stop	Map	OMIM	Description	Aliases
1	MMEL1	79258	1	2633041	2590641	1p36		membrane metallo-endopeptidase-like 1	RP3-395M20.11-001, MMEL2, NEP2, NEPII, NL1, NL2, SEP
2	SPSB1	80176	1	9292881	9369531	1p36.22	611657	splA/ryanodine receptor domain and SOCS box containing 1	RP3-324M8.1, SSB-1, SSB1
3	PADI4	23569	1	17308194	17363999	1p36.13	605347	peptidyl arginine deiminase, type IV	PAD, PAD4, PADI5, PDI4, PDI5
4	POU3F1	5453	1	38046777	38043850	1p34.1	602479	POU class 3 homeobox 1	OCT6, OTF6, SCIP
5	RRAGC	64121	1	38859822	38838196	1p34	608267	Ras-related GTP binding C	GTR2, RAGC, TIB929
6	C1orf87	127795	1	60073769	59990393	1p32.1		chromosome 1 open reading frame 87	CREF
7	NFIA	4774	1	61077273	61462787	1p31.3-p31.2	600727	nuclear factor I/A	RP5-902P15.1, CTF, NF-I/A, NF1-A, NFI-A, NFI-L
8	LMO4	8543	1	87328467	87348922	1p22.3	603129	LIM domain only 4	
9	RPL36AP10	100271140	1	88577844	88578250	1p22.2		ribosomal protein L36a pseudogene 10	RPL36A_1_70
10	RPS2P14	100270827	1	113699605	113698883	1p13		ribosomal protein S2 pseudogene 14	RPS2_2_88
11	RSBN1	54665	1	113812447	113761831	1p13.2	615858	round spermatid basic protein 1	RP11-324J2.1, ROSBIN
12	PTPN22	26191	1	113871752	113813810	1p13.2	600716	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	LYP, LYP1, LYP2, PEP, PTPN8
13	CD247	919	1	167518609	167430639	1q24.2	186780	CD247 molecule	RP11-104L21.1, CD3-ZETA, CD3H, CD3Q, CD3Z, T3Z, TCRZ
14	NRXN1	9378	2	51032535	49918504	2p16.3	600565	neurexin 1	Hs.22998, PTHSL2, SCZD17
15	CRYGGP	1424	2	51775713	51774997	2p16.3		crystallin, gamma G, pseudogene	CRYGGP1
16	REL	5966	2	60881573	60944283	2p13-p12	164910	v-rel avian reticuloendotheliosis viral oncogene homolog	C-Rel
17	RPS12P3	344423	2	60938684	60938176	2p16.1		ribosomal protein S12 pseudogene 3	RPS12_2_223
18	B3GNT2	10678	2	62196126	62224730	2p15	605581	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	B3GN-T2, B3GNT, B3GNT-2, B3GNT1, BETA3GNT, BGNT2, BGnT-2
19	TMEM17	200728	2	62506468	62460894	2p15	614950	transmembrane protein 17	
20	SPRED2	200734	2	65432636	65307441	2p14	609292	sprouty-related, EVH1 domain containing 2	Spred-2
21	AFF3	3899	2	100142574	99545863	2q11.2-q12	601464	AF4/FMR2 family, member 3	LAF4, MLLT2-like
22	LONRF2	164832	2	100322732	100273290	2q11.2		LON peptidase N-terminal domain and ring finger 2	RNF192
23	CERS6	253782	2	168456248	168775133	2q24.3	615336	ceramide synthase 6	CERS5, LASS6
24	STAT4	6775	2	191172670	191029575	2q32.2-q32.3	600558	signal transducer and activator of transcription 4	SLEB11
25	KRT18P39	344462	2	203765631	203764232	2q33.2		keratin 18 pseudogene 39	
26	CTLA4	1493	2	203867787	203873959	2q33	123890	cytotoxic T-lymphocyte-associated protein 4	CD, CD152, CELIAC3, CTLA-4, GRD4, GSE, IDDM12
27	MRPS35P1	339910	3	5446975	5447102	3p25.3		mitochondrial ribosomal protein S35 pseudogene 1	
28	MRPS36P1	347705	3	6773345	6773036	3p25.3		mitochondrial ribosomal protein S36 pseudogene 1	
29	SLC6A11	6538	3	10816231	10938459	3p25.3	607952	solute carrier family 6 (neurotransmitter transporter), member 11	GAT-3, GAT3, GAT4
30	ARHGEF3	50650	3	57079307	56727417	3p14.3	612115	Rho guanine nucleotide exchange factor (GEF) 3	GEF3, STA3, XPLN
31	FAM107A	11170	3	58627609	58564111	3p21.1	608295	family with sequence similarity 107, member A	DRR1, TU3A
32	ANAPC4	29945	4	25377212	25418497	4p15.2	606947	anaphase promoting complex subunit 4	APC4
33	SMIM20	389203	4	25913905	25929878	4p15.2		small integral membrane protein 20	C4orf52
34	RBPJ	3516	4	26163493	26435130	4p15.2	147183	recombination signal binding protein for immunoglobulin kappa J region	AOS3, CBF1, IGKJRB, IGKJRB1, KBF2, RBP-J, RBPJK, RBPSUH, SUH, csl
35	RPL31P31	727792	4	33968146	33968566	4p15.1		ribosomal protein L31 pseudogene 31	RPL31_10_468
36	ARAP2	116984	4	36244356	36065997	4p14	606645	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	CENTD1, PARX
37	RCHY1	25898	4	75514673	75479036	4q21.1	607680	ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase	ARNIP, CHIMP, PIRH2, PRO1996, RNF199, ZCHY, ZNF363
38	CCNG2	901	4	77157203	77170059	4q21.1	603203	cyclin G2	
39	CXCL13	10563	4	77511752	77611833	4q21	605149	chemokine (C-X-C motif) ligand 13	ANGIE, ANGIE2, BCA-1, BCA1, BLC, BLR1L, SCYB13
40	ANXA3	306	4	78551587	78610450	4q21.21	106490	annexin A3	ANX3
41	KIAA1109	84162	4	122152332	122362758	4q27	611565	KIAA1109	FSA, Tweek
42	GUSBP1	728411	5	21459479	21589371	5p14.3		glucuronidase, beta pseudogene 1	
43	CDH12	1010	5	22853621	21750863	5p14.3	600562	cadherin 12, type 2 (N-cadherin 2)	CDHB
44	ANKRD55	79722	5	56233358	56099674	5q11.2	615189	ankyrin repeat domain 55	
45	C5orf30	90355	5	103258740	103278659	5q21.1		chromosome 5 open reading frame 30	
46	CSF2	1437	5	132073791	132076169	5q31.1	138960	colony stimulating factor 2 (granulocyte-macrophage)	GMCSF
47	P4HA2	8974	5	132227862	132192609	5q31	600608	prolyl 4-hydroxylase, alpha polypeptide II	UNQ290/PRO330
48	RNF182	221687	6	13924445	13980008	6p23		ring finger protein 182	
49	CD83	9308	6	14117255	14136917	6p23	604534	CD83 molecule	BL11, HB15
50	HLA-G	3135	6	29826978	29831121	6p21.3	142871	major histocompatibility complex, class I, G	DADB-15K14.8, MHC-G
51	APOM	55937	6	31652409	31658209	6p21.33	606907	apolipoprotein M	DADB-127H9.5, G3a, HSPC336, NG20, apo-M
52	NOTCH4	4855	6	32224066	32194842	6p21.3	164951	notch 4	DAQB-143M3.4, INT3
53	C6orf10	10665	6	32371928	32292697	6p21.3		chromosome 6 open reading frame 10	DAAP-279L6.1, TSBP
54	HLA-DRB9	3132	6	32460088	32459819	6p21.3		major histocompatibility complex, class II, DR beta 9 (pseudogene)	D6S206, D6S206E, HLA-DR1BL, HLA-DRB1L
55	HLA-DRB5	3127	6	32530228	32517373	6p21.3	604776	major histocompatibility complex, class II, DR beta 5	hCG_1998957, HLA-DRB
56	HLA-DRB1	3123	6	32589835	32578768	6p21.3	142857	major histocompatibility complex, class II, DR beta 1	XXbac-BPG161M6.1, DRB1, DRw10, HLA-DR1B, HLA-DRB, SS1
57	HLA-DQA1	3117	6	32637391	32654684	6p21.3	146880	major histocompatibility complex, class II, DQ alpha 1	DAQB-109B10.1, CD, CELIAC1, DQ-A1, GSE, HLA-DQA
58	HLA-DQB1	3119	6	32666688	32659463	6p21.3	604305	major histocompatibility complex, class II, DQ beta 1	DADB-249P12.2, CELIAC1, HLA-DQB, IDDM1
59	HLA-DQA2	3118	6	32741385	32746886	6p21.3	613503	major histocompatibility complex, class II, DQ alpha 2	DAAP-381D23.2, DX-ALPHA, HLA-DXA
60	NFKBIE	4794	6	44265787	44258165	6p21.1	604548	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon	RP1-302G2.2, IKBE
61	OLIG3	167826	6	137494393	137492198	6q23.3	609323	oligodendrocyte transcription factor 3	RP3-372K1.2, Bhlhb7, bHLHe20
